Datetime_UTC,RecNbr,Array_ID_1min,Stn_Code,DHI_Avg,DHI_Std,GHI_Avg,GHI_Std,Irrad_Direct_Avg,Irrad_Direct_Std,SunShine_Tot,Bat_Min,GTI_Avg,GTI_Std,GTISW_Avg,GTISW_Std
2023-05-06 21:01:00,13273,101.0,555.0,-2.127380132675171,0.06121407821774483,-2.9518895149230957,0.12122934311628342,1.8393462896347046,6.262616157531738,0.0,13.6,-4.954742908477783,0.11343228816986084,-2.3748793601989746,0.26793384552001953
2023-05-06 21:02:00,13274,101.0,555.0,-2.1778509616851807,0.05880613625049591,-2.9604272842407227,0.11359837651252747,2.2935025691986084,6.658463478088379,0.0,13.61,-4.909411430358887,0.12619243562221527,-2.3692233562469482,0.2978667914867401
2023-05-06 21:03:00,13275,101.0,555.0,-2.2164978981018066,0.06921638548374176,-2.9945178031921387,0.11541391164064407,2.475149393081665,6.263349533081055,0.0,13.6,-5.002266883850098,0.1241903230547905,-2.457536458969116,0.27633827924728394
2023-05-06 21:04:00,13276,101.0,555.0,-2.279407024383545,0.06047980859875679,-3.078490734100342,0.11673683673143387,2.543260335922241,6.11448335647583,0.0,13.6,-5.115058422088623,0.13722357153892517,-2.6421263217926025,0.2631963789463043
2023-05-06 21:05:00,13277,101.0,555.0,-2.3016762733459473,0.0589691624045372,-3.1591744422912598,0.12564994394779205,1.805243968963623,6.135840892791748,0.0,13.6,-5.2676496505737305,0.11751752346754074,-2.685145378112793,0.2833026349544525
2023-05-06 21:06:00,13278,101.0,555.0,-2.3527917861938477,0.06056396663188934,-3.1952552795410156,0.11184700578451157,2.7703065872192383,6.393904209136963,0.0,13.59,-5.314091682434082,0.13506735861301422,-2.7440309524536133,0.27125826478004456
2023-05-06 21:07:00,13279,101.0,555.0,-2.351470947265625,0.0629156306385994,-3.1493139266967773,0.12510845065116882,2.304791212081909,5.754980087280273,0.0,13.6,-5.265406131744385,0.11859433352947235,-2.6454925537109375,0.2645856738090515
2023-05-06 21:08:00,13280,101.0,555.0,-2.323317527770996,0.05756481736898422,-3.151319742202759,0.11464495956897736,1.759819746017456,6.49765682220459,0.0,13.6,-5.254409313201904,0.12263929843902588,-2.644390821456909,0.2724439799785614
2023-05-06 21:09:00,13281,101.0,555.0,-2.315476894378662,0.061379190534353256,-3.1336371898651123,0.1145942434668541,1.2035210132598877,6.005424976348877,0.0,13.61,-5.196953296661377,0.10936806350946426,-2.468879222869873,0.259540855884552
2023-05-06 21:10:00,13282,101.0,555.0,-2.3770718574523926,0.06557097285985947,-3.0076475143432617,0.07780993729829788,8.23155689239502,3.2630348205566406,0.0,13.6,-5.19803524017334,0.09279496967792511,-2.9230031967163086,0.14387114346027374
2023-05-06 21:11:00,13283,101.0,555.0,-2.479963541030884,0.07925457507371902,-3.2595925331115723,0.11314274370670319,2.497842311859131,6.149548053741455,0.0,13.59,-5.432492256164551,0.11586663872003555,-2.7667129039764404,0.2718259394168854
2023-05-06 21:12:00,13284,101.0,555.0,-2.5658087730407715,0.07129792124032974,-3.3652148246765137,0.12927137315273285,1.896073818206787,6.051136493682861,0.0,13.6,-5.6127424240112305,0.11701749265193939,-2.933180570602417,0.2980439066886902
2023-05-06 21:13:00,13285,101.0,555.0,-2.606426239013672,0.052796050906181335,-3.452456474304199,0.12556815147399902,0.9083072543144226,6.046746253967285,0.0,13.6,-5.734362602233887,0.11317761987447739,-2.9694035053253174,0.26472634077072144
